taxid	organism_name
930090	Bipolaris oryzae ATCC 44560
930091	Bipolaris victoriae FI3
931890	Eremothecium cymbalariae DBVPG#7215
936046	Agaricus bisporus var. bisporus H97
936130	Pisolithus orientalis
948595	Vavraia culicis subsp. floridensis
983644	Cordyceps militaris CM01
983964	Trichoderma harzianum CBS 226.95
983966	Cyberlindnera jadinii NRRL Y-1542
984485	Hyphopichia burtonii NRRL Y-1933
984486	Babjeviella inositovora NRRL Y-12698
984487	Suhomyces tanzawaensis NRRL Y-17324
989973	Phyllosticta citribraziliensis
993615	Vittaforma corneae ATCC 50505
1002107	Penicillium psychrosexuale
1003335	Kluyveromyces marxianus DMKU3-1042
1028729	Fusarium pseudograminearum CS3096
1036611	Aspergillus versicolor CBS 583.65
1036612	Aspergillus sydowii CBS 593.65
1037660	Tilletiaria anomala UBC 951
1041607	Wickerhamomyces ciferrii
1042133	Fusarium musae
1043002	Aureobasidium pullulans EXF-150
1043003	Aureobasidium melanogenum CBS 110374
1043004	Aureobasidium namibiae CBS 147.97
1043005	Aureobasidium subglaciale EXF-2481
1051616	Verticillium nonalfalfae
1052096	Cladosporium halotolerans
1069201	Aspergillus luchuensis
1069680	Pneumocystis murina B123
1070780	Aspergillus affinis
1071378	Naumovozyma dairenensis CBS 421
1071380	Henningerozyma blattae CBS 6284
1071381	Tetrapisispora phaffii CBS 4417
1071382	Kazachstania africana CBS 2517
1071383	Huiozyma naganishii CBS 8797
1073089	Aspergillus wentii DTO 134E9
1073090	Penicilliopsis zonata CBS 506.65
1078765	Scheffersomyces amazonensis
1079257	Ilyonectria robusta
1080232	Penicillium hispanicum
1080233	Zasmidium cellare ATCC 36951
1080349	Saccharomyces eubayanus
1081103	Metarhizium album ARSEF 1941
1081104	Cordyceps fumosorosea ARSEF 2679
1089451	Fusarium odoratissimum NRRL 54006
1093897	Phialemonium atrogriseum
1093900	Thyridium curvatum
1094350	Geosmithia morbida
1095194	Colletotrichum karsti
1095630	Hyaloscypha bicolor E
1108849	Penicillium rubens
1116229	Glarea lozoyensis ATCC 20868
1125753	Limtongia smithiae
1130832	Rhodotorula toruloides NP11
1131564	Penicillium cosmopolitanum
1131581	Penicillium argentinense
1131652	Talaromyces proteolyticus
1132637	Penicillium atrosanguineum
1136231	Candida orthopsilosis Co 90-125
1141098	Pseudomassariella vexata
1149848	Thermothelomyces heterothallicus CBS 202.75
1150837	Didymella exigua CBS 183.55
1157608	Madurella fahalii
1159556	Ustilaginoidea virens
1160497	Aspergillus glaucus CBS 516.65
1167516	Penicillium odoratum
1168221	Coniosporium apollinis CBS 100218
1168544	Cucurbitaria berberidis CBS 394.84
1170767	Chaetomium strumarium
1174673	Morchella importuna
1174677	Morchella sextelata
1176127	Aplosporella prunicola CBS 121167
1178016	Encephalitozoon romaleae SJ-2008
1182541	Capronia coronata CBS 617.96
1182542	Capronia epimyces CBS 606.96
1182543	Cladophialophora psammophila CBS 110553
1182544	Cladophialophora yegresii CBS 114405
1182545	Exophiala aquamarina CBS 119918
1186058	Trichosporon asahii var. asahii CBS 2479
1187904	Alternaria burnsii
1187925	Alternaria hordeiaustralica
1187928	Alternaria incomplexa
1187938	Alternaria postmessia
1187941	Alternaria rosae
1187951	Alternaria ventricosa
1196081	Talaromyces amestolkiae
1198502	Candida theae
1209916	Colletotrichum costaricense
1209918	Colletotrichum godetiae
1209926	Colletotrichum orchidophilum
1209932	Colletotrichum scovillei
1209934	Colletotrichum tamarilloi
1213859	Colletotrichum fructicola Nara gc5
1214568	Diaporthe amygdali
1215731	Colletotrichum aenigma
1220188	Aspergillus tanneri
1220207	Aspergillus puulaauensis
1220924	Cyphellophora europaea CBS 101466
1227346	Fusarium proliferatum ET1
1229662	Pestalotiopsis fici W106-1
1230383	Malassezia sympodialis ATCC 42132
1231522	Candidozyma duobushaemuli
1245769	Lachancea lanzarotensis
1263415	Endocarpon pusillum Z07020
1268659	Kwoniella botswanensis
1277687	Pseudozyma flocculosa PF-1
1279043	Cladophialophora carrionii CBS 160.54
1279085	Fusarium fujikuroi IMI 58289
1280837	Meira miltonrushii
1286976	Phaeoacremonium minimum UCRPA7
1295528	Cryptococcus wingfieldii CBS 7118
1295531	Cryptococcus depauperatus CBS 7841
1295533	Cryptococcus amylolentus CBS 6039
1295534	Kwoniella dendrophila CBS 6074
1296096	Kwoniella pini CBS 10737
1296100	Kwoniella bestiolae CBS 10118
1296105	Cryptococcus tetragattii IND107
1296109	Cryptococcus bacillisporus CA1280
1296121	Kwoniella dejecticola CBS 10117
1296122	Kwoniella mangroviensis CBS 8507
1299270	Wallemia ichthyophaga EXF-994
1304137	Scheffersomyces xylosifermentans
1305764	Pseudozyma hubeiensis SY62
1314678	Umbelopsis ramanniana AG
1314773	Sodiomyces alkalinus F11
1314785	Laetiporus sulphureus 93-53
1314786	Dissoconium aciculare CBS 342.82
1316194	Penicillium subrubescens
1316788	Lachnellula hyalina
1324776	Penicillium malachiteum
1328300	Fusarium keratoplasticum
1328758	Lentinus tigrinus ALCF2SS1-7
1328760	Xylona heveae TC161
1337062	Kockiozyma suomiensis
1337664	Apiospora hydei
1337665	Apiospora kogelbergensis
1340429	Rhizopus microsporus ATCC 52813
1341132	Aspergillus welwitschiae
1343394	Penicillium maclennaniae
1344418	Ascoidea rubescens DSM 1968
1354746	Ordospora colligata OC4
1365824	Kalmanozyma brasiliensis GHG001
1367422	Fonsecaea erecta
1378263	Ogataea philodendri
1380566	Pochonia chlamydosporia 170
1382522	Kuraishia capsulata CBS 1993
1387563	Ophidiomyces ophidiicola
1388766	Aspergillus ruber CBS 135680
1392243	Eremomyces bilateralis CBS 781.70
1392245	Dothidotthia symphoricarpi CBS 119687
1392248	Aspergillus campestris IBT 28561
1392250	Aspergillus steynii IBT 23096
1392255	Aspergillus novofumigatus IBT 16806
1392256	Aspergillus ochraceoroseus IBT 24754
1396493	Fimicolochytrium jonesii
