group_taxid	group_name	kingdom	tax_phylum	tax_class	tax_order	tax_family	tax_genus	tax_species	taxonomy	n_blanks_present	mean_reads_blank	max_reads_blank	sum_reads_all_blanks	min_tier_blank	in_run28_blank	runs_present	prevalence	mean_reads_all_blanks	reads_run28	contamination_class	mean_rpm_blank	max_rpm_blank	std_rpm_blank	lot_batch_runs
1822464	Paraburkholderia	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	""	Pseudomonadota|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Paraburkholderia	5	78.6	162	393	1	false	29,30,31,32,33	0.2631578947368421	20.684210526315788	0	REAGENT	306.89201958035557	560.9670795430542	147.2970312786228	29,30,31,32,33
379	Rhizobium	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobium	""	Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales|Rhizobiaceae|Rhizobium	5	75.4	149	377	2	false	29,30,31,32,33	0.2631578947368421	19.842105263157894	0	REAGENT	292.9842536455858	515.9512027895993	129.55230622690794	""
3344828	Bradyrhizobium sp. ma5	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Bradyrhizobium	Bradyrhizobium sp. ma5	Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales|Nitrobacteraceae|Bradyrhizobium|Bradyrhizobium sp. ma5	5	59.6	131	298	2	false	29,30,31,32,33	0.2631578947368421	15.68421052631579	0	REAGENT	227.24196220873856	453.62152728481544	129.749055489075	""
1933044	Edaphobacter flagellatus	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Edaphobacter	Edaphobacter flagellatus	Acidobacteriota|Terriglobia|Terriglobales|Acidobacteriaceae|Edaphobacter|Edaphobacter flagellatus	5	45.6	74	228	2	false	29,30,31,32,33	0.2631578947368421	12.0	0	REAGENT	179.11977000705448	256.2442215196667	62.41545412818871	""
2057741	Bradyrhizobium sp. SK17	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Bradyrhizobium	Bradyrhizobium sp. SK17	Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales|Nitrobacteraceae|Bradyrhizobium|Bradyrhizobium sp. SK17	5	31.4	64	157	2	false	29,30,31,32,33	0.2631578947368421	8.263157894736842	0	REAGENT	120.34996086377154	221.61662401700906	59.2937085042264	""
423349	Mucilaginibacter	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	""	Bacteroidota|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Mucilaginibacter	5	27.8	60	139	2	false	29,30,31,32,33	0.2631578947368421	7.31578947368421	0	REAGENT	108.14410893789272	207.76558501594602	59.97335351591625	""
3402687	Mucilaginibacter sp. NFX135	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter sp. NFX135	Bacteroidota|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Mucilaginibacter|Mucilaginibacter sp. NFX135	5	22.2	42	111	2	false	29,30,31,32,33	0.2631578947368421	5.842105263157895	0	REAGENT	85.34764091433118	145.4359095111622	33.74624681893829	""
2027860	Mucilaginibacter rubeus	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter rubeus	Bacteroidota|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Mucilaginibacter|Mucilaginibacter rubeus	5	12.8	24	64	2	false	29,30,31,32,33	0.2631578947368421	3.3684210526315788	0	REAGENT	51.04455008338273	83.1062340063784	21.718960501521895	""
75	Caulobacter	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	""	Pseudomonadota|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Caulobacter	5	10.6	18	53	2	false	29,30,31,32,33	0.2631578947368421	2.789473684210526	0	REAGENT	39.36878138266766	62.3296755047838	16.56060862370414	""
407	Methylobacterium	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylobacterium	""	Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales|Methylobacteriaceae|Methylobacterium	5	8.4	16	42	2	true	26,28,29,32,33	0.2631578947368421	2.2105263157894735	11	REAGENT	33.1461833017372	52.20420386216192	15.764843016425921	""
